,country,year,life_expectancy
854,Egypt,1804,33.0
855,El Salvador,1804,28.7
856,Equatorial Guinea,1804,29.8
857,Eritrea,1804,30.2
858,Estonia,1804,34.37
859,Ethiopia,1804,29.7
860,Fiji,1804,26.1
861,Finland,1804,35.91
862,France,1804,29.38
863,French Guiana,1804,30.5
864,French Polynesia,1804,25.6
865,Gabon,1804,30.6
866,Gambia,1804,28.8
867,Georgia,1804,31.87
868,Germany,1804,38.37
869,Ghana,1804,28.0
870,Greece,1804,36.6
871,Greenland,1804,33.87
872,Grenada,1804,31.4
873,Guadeloupe,1804,27.66
874,Guam,1804,27.5
875,Guatemala,1804,25.8
876,Guinea,1804,29.54
877,Guinea-Bissau,1804,32.0
878,Guyana,1804,31.12
879,Haiti,1804,29.0
880,Honduras,1804,33.9
881,"Hong Kong, China",1804,34.9
882,Hungary,1804,36.0
883,Iceland,1804,24.76
884,India,1804,23.5
885,Indonesia,1804,30.0
886,Iran,1804,25.6
887,Iraq,1804,31.2
888,Ireland,1804,38.3
889,Israel,1804,32.0
890,Italy,1804,29.69
891,Jamaica,1804,34.2
892,Japan,1804,36.4
893,Jordan,1804,31.7
894,Kazakhstan,1804,26.2
895,Kenya,1804,25.5
896,Kiribati,1804,24.9
897,North Korea,1804,26.0
898,South Korea,1804,25.8
899,Kuwait,1804,26.0
900,Kyrgyz Republic,1804,23.94
901,Lao,1804,31.9
902,Latvia,1804,33.0
903,Lebanon,1804,29.7
904,Lesotho,1804,32.8
905,Liberia,1804,31.1
906,Libya,1804,33.1
907,Lithuania,1804,28.9
908,Luxembourg,1804,36.9
909,"Macao, China",1804,34.7
910,"Macedonia, FYR",1804,36.1
911,Madagascar,1804,30.5
912,Malawi,1804,30.3
913,Malaysia,1804,30.6
914,Maldives,1804,32.65
915,Mali,1804,26.41
916,Malta,1804,28.7
917,Martinique,1804,30.15
918,Mauritania,1804,32.0
919,Mauritius,1804,28.7
920,Mayotte,1804,32.5
921,Mexico,1804,26.9
922,"Micronesia, Fed. Sts.",1804,26.7
923,Moldova,1804,33.15
924,Mongolia,1804,31.8
925,Montenegro,1804,35.4
926,Morocco,1804,33.1
927,Mozambique,1804,30.28
928,Myanmar,1804,30.8
929,Namibia,1804,32.4
